Year,SSL0-300m,"SSL0-300m, 95%CI",SSL0-700m,"SSL0-700m, 95%CI",SSL0-2000m,"SSL0-2000m, 95%CI"
1940,-22.764166666666668,6.120833333333334,-33.8325,8.519166666666667,-43.16416666666667,14.769166666666665
1941,-20.986666666666668,5.774166666666667,-32.678333333333335,8.155,-42.005,14.020000000000001
1942,-19.533333333333335,5.641666666666667,-30.049166666666665,8.259166666666667,-38.44416666666667,13.979166666666666
1943,-19.774166666666666,5.263333333333333,-29.295,7.9775,-37.05833333333333,13.805833333333332
1944,-19.076666666666668,4.694166666666667,-28.83666666666667,7.0625,-36.62833333333334,13.074166666666665
1945,-19.366666666666667,5.0325,-28.366666666666664,7.3125,-36.34166666666667,13.155000000000001
1946,-20.768333333333334,5.086666666666667,-29.480833333333333,7.1375,-38.01166666666666,12.969999999999999
1947,-19.096666666666668,4.536666666666666,-28.364166666666666,6.645833333333333,-37.31333333333333,12.235833333333334
1948,-21.63,4.945833333333334,-31.5575,6.8741666666666665,-39.48416666666667,12.222499999999998
1949,-22.808333333333334,5.0424999999999995,-32.18833333333333,6.678333333333334,-40.464166666666664,11.721666666666666
1950,-21.873333333333335,4.5075,-33.178333333333335,5.828333333333333,-43.09583333333333,10.683333333333332
1951,-18.888333333333332,3.9166666666666665,-29.75,5.385833333333333,-39.96666666666667,9.91
1952,-19.3475,4.395833333333333,-29.4025,5.9366666666666665,-39.31666666666667,10.4
1953,-18.545833333333334,4.460833333333333,-27.969166666666666,5.921666666666667,-37.318333333333335,10.3575
1954,-13.079166666666666,3.964166666666667,-22.595,5.620833333333334,-32.04666666666667,9.878333333333334
1955,-20.628333333333334,3.66,-30.8225,5.730833333333333,-39.931666666666665,9.764166666666666
1956,-18.371666666666666,2.7783333333333338,-28.9575,4.4025,-38.27,8.041666666666666
1957,-18.198333333333334,2.438333333333333,-27.68166666666667,4.116666666666666,-37.38583333333333,7.505
1958,-15.6425,2.2866666666666666,-22.9575,4.2075,-31.964166666666667,7.552499999999999
1959,-18.366666666666667,2.7241666666666666,-27.075833333333335,4.844166666666666,-35.919999999999995,7.979166666666667
1960,-16.76,2.1891666666666665,-24.723333333333333,4.3925,-32.76166666666666,7.628333333333334
1961,-16.62,2.5866666666666664,-25.046666666666667,4.568333333333333,-31.632500000000004,7.706666666666667
1962,-14.37,2.345833333333333,-22.734166666666667,4.4125000000000005,-30.39916666666667,7.54
1963,-13.996666666666668,2.0208333333333335,-22.879166666666666,4.115833333333334,-31.105,7.195833333333333
1964,-16.708333333333332,2.085,-26.144166666666667,4.4750000000000005,-34.526666666666664,7.340833333333333
1965,-16.790833333333335,2.254166666666667,-25.41333333333333,4.020833333333333,-33.26333333333333,6.908333333333334
1966,-15.6475,1.5066666666666666,-23.159166666666664,3.0749999999999997,-30.02,5.609999999999999
1967,-15.284166666666666,1.2658333333333334,-22.724166666666665,2.5383333333333336,-29.555833333333336,4.620833333333334
1968,-16.390833333333333,1.6241666666666665,-23.986666666666668,2.7108333333333334,-31.872500000000002,4.721666666666667
1969,-16.8775,1.875,-24.825,2.9949999999999997,-32.84916666666667,4.876666666666666
1970,-17.104166666666668,1.6925,-25.676666666666666,2.78,-33.968333333333334,4.763333333333333
1971,-16.78,1.6566666666666665,-23.583333333333332,2.6158333333333332,-31.61583333333333,4.546666666666667
1972,-15.669166666666667,1.6291666666666667,-22.959166666666665,2.5375,-30.1375,4.263333333333333
1973,-15.63,1.4933333333333334,-23.090833333333332,2.674166666666667,-30.36666666666667,4.404166666666667
1974,-14.7475,1.5683333333333334,-21.421666666666667,2.7083333333333335,-27.791666666666668,4.5675
1975,-13.345833333333333,1.745,-19.578333333333333,2.8699999999999997,-26.525000000000002,4.816666666666666
1976,-14.315833333333332,1.7758333333333332,-20.224999999999998,2.8625000000000003,-28.47,4.9125000000000005
1977,-12.626666666666667,1.6733333333333331,-18.770833333333332,2.6225,-27.450833333333335,4.388333333333333
1978,-11.064166666666667,1.29,-17.25916666666667,1.9791666666666667,-25.395833333333332,3.635
1979,-12.314166666666667,1.0983333333333334,-18.865,1.7858333333333334,-26.206666666666667,3.311666666666667
1980,-11.485833333333334,0.8091666666666667,-18.234166666666667,1.3533333333333333,-24.714166666666667,3.0341666666666662
1981,-11.244166666666667,0.9591666666666666,-18.486666666666668,1.6283333333333332,-25.888333333333332,3.2816666666666667
1982,-11.824166666666665,0.9858333333333333,-19.665,1.7158333333333333,-27.011666666666667,3.2158333333333338
1983,-12.149166666666666,1.0158333333333334,-19.466666666666665,1.7108333333333334,-26.610833333333332,3.075833333333333
1984,-14.041666666666666,1.0266666666666666,-21.1475,1.5675,-28.624166666666667,2.865
1985,-13.458333333333334,1.0033333333333334,-20.4475,1.6475,-28.174166666666668,2.9491666666666667
1986,-12.431666666666667,0.8016666666666666,-18.036666666666665,1.4791666666666667,-24.238333333333333,2.750833333333333
1987,-11.000833333333333,0.5383333333333333,-16.448333333333334,1.0316666666666665,-22.060833333333335,2.205
1988,-9.895,0.5499999999999999,-15.700833333333334,1.085,-21.64916666666667,2.1416666666666666
1989,-8.560833333333333,0.6133333333333334,-15.708333333333334,1.2716666666666667,-21.400000000000002,2.375833333333333
1990,-7.785,0.6825,-15.139166666666668,1.2458333333333333,-20.758333333333333,2.6283333333333334
1991,-6.1325,0.6475000000000001,-11.1075,1.1716666666666666,-17.161666666666665,2.3033333333333332
1992,-9.895,0.7200000000000001,-14.157499999999999,1.1391666666666667,-18.583333333333332,2.106666666666667
1993,-12.214999999999998,0.6666666666666666,-15.62,1.0,-19.825,1.8433333333333335
1994,-11.1825,0.7033333333333333,-14.18,0.8866666666666667,-18.12,1.71
1995,-11.313333333333333,0.6325,-15.515,0.8358333333333333,-19.227500000000003,1.6975
1996,-8.35,0.5741666666666667,-11.434166666666668,0.8250000000000001,-14.83,1.8016666666666667
1997,-8.275,0.4808333333333334,-12.148333333333333,0.6966666666666667,-15.387500000000001,1.6341666666666665
1998,-6.75,0.405,-10.0175,0.5575,-12.67,1.3891666666666669
1999,-6.355,0.4708333333333334,-8.655,0.62,-11.144166666666665,1.38
2000,-6.984999999999999,0.5491666666666667,-10.474166666666667,0.6691666666666666,-13.166666666666666,1.3191666666666666
2001,-6.141666666666667,0.4166666666666667,-9.148333333333333,0.6041666666666666,-11.659999999999998,1.1624999999999999
2002,-4.389166666666667,0.48583333333333334,-6.514166666666667,0.6625,-8.6775,1.2008333333333334
2003,-2.8966666666666665,0.47583333333333333,-4.245833333333334,0.7183333333333333,-6.179166666666667,1.2133333333333334
2004,-2.670833333333333,0.3666666666666667,-4.8675,0.585,-6.869166666666666,1.0491666666666666
2005,-2.796666666666667,0.3983333333333334,-4.399166666666667,0.6266666666666666,-6.1691666666666665,1.1058333333333332
2006,-0.9833333333333334,0.41,-1.5525,0.5741666666666666,-2.6366666666666667,1.0041666666666667
2007,-2.6591666666666667,0.42,-3.48,0.5441666666666667,-4.7316666666666665,0.9441666666666667
2008,-2.1683333333333334,0.405,-2.9725,0.5341666666666667,-3.6166666666666667,0.92
2009,0.20416666666666664,0.3983333333333334,-0.10499999999999998,0.5083333333333333,-0.4666666666666666,0.8541666666666666
2010,-0.8841666666666667,0.38083333333333336,-1.3408333333333333,0.4816666666666667,-1.5216666666666665,0.7925
2011,-0.43416666666666665,0.39749999999999996,-0.7816666666666667,0.5358333333333333,-0.8458333333333333,0.8791666666666668
2012,0.83,0.38666666666666666,1.0683333333333334,0.47833333333333333,1.5716666666666665,0.8191666666666667
2013,1.5083333333333335,0.36916666666666664,2.1733333333333333,0.45916666666666667,2.7725000000000004,0.8175
2014,1.4416666666666667,0.41083333333333333,2.299166666666667,0.515,3.5516666666666663,0.8583333333333334
2015,3.1425,0.4075,4.6883333333333335,0.5366666666666667,5.924166666666667,0.8858333333333334
2016,2.5483333333333333,0.42166666666666663,3.605,0.5650000000000001,4.560833333333334,0.9691666666666666
2017,3.6733333333333333,0.41583333333333333,5.220833333333333,0.5233333333333333,6.5058333333333325,0.9408333333333333
2018,3.0233333333333334,0.1725,3.9774999999999996,0.26,4.460833333333333,0.47833333333333333
2019,5.244166666666667,0.2125,6.484999999999999,0.3075,7.158333333333334,0.5833333333333334
2020,5.0225,0.24250000000000002,6.415833333333333,0.31916666666666665,7.3625,0.6141666666666666
2021,5.335833333333333,0.25333333333333335,7.264166666666667,0.3541666666666667,8.6425,0.6808333333333333
2022,5.988333333333333,0.265,7.953333333333333,0.37083333333333335,8.838333333333333,0.7599999999999999
2023,7.316666666666666,0.29,9.416666666666666,0.39,10.828333333333333,0.88
